image_url,artist,title,top_year,class,youtube_top_url,yt_id,is_downloaded,mood,per
https://cdnimg.melon.co.kr/cm/album/images/000/08/862/8862_500.jpg/melon/resize/48/quality/80/optimize,전영,모두가 천사라면,1983,kpop,https://youtube.com/watch?v=muabNVWy1MI,muabNVWy1MI,True,happy,0.5154
https://cdnimg.melon.co.kr/cm/album/images/000/04/590/4590_500.jpg/melon/resize/48/quality/80/optimize,이은하,바람에 구름 가듯,1983,kpop,https://youtube.com/watch?v=-1cCGxVqgg8,-1cCGxVqgg8,True,romantic,0.406
https://cdnimg.melon.co.kr/cm/album/images/020/38/967/2038967_500.jpg/melon/resize/48/quality/80/optimize,정수라,바람이었나,1983,kpop,https://youtube.com/watch?v=8h_7IN-O9xE,8h_7IN-O9xE,True,romantic,0.3637
https://cdnimg.melon.co.kr/cm/album/images/022/56/656/2256656_500.jpg/melon/resize/48/quality/80/optimize,민해경,변명,1983,kpop,https://youtube.com/watch?v=j7GQcvJwErY,j7GQcvJwErY,True,romantic,0.5456
https://cdnimg.melon.co.kr/cm/album/images/000/04/023/4023_500.jpg/melon/resize/48/quality/80/optimize,이혜민(배따라기),비와 찻잔 사이,1983,kpop,https://youtube.com/watch?v=4janUqlgWqU,4janUqlgWqU,True,romantic,0.4514
https://cdnimg.melon.co.kr/cm/album/images/000/31/028/31028_500.jpg/melon/resize/48/quality/80/optimize,나훈아,사랑,1983,kpop,https://youtube.com/watch?v=wfPc6k9wMnY,wfPc6k9wMnY,True,sad,0.5361
https://cdnimg.melon.co.kr/cm/album/images/000/08/236/8236_500.jpg/melon/resize/48/quality/80/optimize,해오라기,사랑은 받는것이 아니라면서,1983,kpop,https://youtube.com/watch?v=R7Lyq3kfKy8,R7Lyq3kfKy8,True,romantic,0.4868
https://cdnimg.melon.co.kr/cm/album/images/003/56/818/356818_500.jpg/melon/resize/48/quality/80/optimize,이태원,솔개,1983,kpop,https://youtube.com/watch?v=6XdOF1n0CC0,6XdOF1n0CC0,True,romantic,0.3741
https://cdnimg.melon.co.kr/cm/album/images/000/05/085/5085_500.jpg/melon/resize/48/quality/80/optimize,현철,앉으나 서나 당신 생각,1983,kpop,https://youtube.com/watch?v=RR8ZigyduhA,RR8ZigyduhA,True,happy,0.3488
https://cdnimg.melon.co.kr/cm/album/images/000/03/994/3994_500.jpg/melon/resize/48/quality/80/optimize,방미,올 가을엔 사랑할거야,1983,kpop,https://youtube.com/watch?v=1qOHUoGVSPk,1qOHUoGVSPk,True,romantic,0.6358
https://cdnimg.melon.co.kr/cm/album/images/000/04/144/4144_500.jpg/melon/resize/48/quality/80/optimize,송창식,푸르른 날,1983,kpop,https://youtube.com/watch?v=WCw9we6jL9Y,WCw9we6jL9Y,True,romantic,0.3166
https://cdnimg.melon.co.kr/cm/album/images/000/04/115/4115_500.jpg/melon/resize/48/quality/80/optimize,송골매,한줄기 빛,1983,kpop,https://youtube.com/watch?v=2tQwLe7Jr0w,2tQwLe7Jr0w,True,aggressive,0.4973
https://cdnimg.melon.co.kr/cm/album/images/003/10/201/310201_500.jpg/melon/resize/48/quality/80/optimize,김수철,내일,1984,kpop,https://youtube.com/watch?v=9hSjifYnFUg,9hSjifYnFUg,True,romantic,0.5824
https://cdnimg.melon.co.kr/cm/album/images/003/10/392/310392_500.jpg/melon/resize/48/quality/80/optimize,최혜영,그것은 인생,1984,kpop,https://youtube.com/watch?v=7Cj_hDwaJHM,7Cj_hDwaJHM,True,romantic,0.3816
https://cdnimg.melon.co.kr/cm/album/images/000/00/117/117_500.jpg/melon/resize/48/quality/80/optimize,신형원,유리벽,1984,kpop,https://youtube.com/watch?v=DoZCGoR2GoY,DoZCGoR2GoY,True,romantic,0.5595
https://cdnimg.melon.co.kr/cm/album/images/000/04/848/4848_500.jpg/melon/resize/48/quality/80/optimize,조용필,눈물의 파티,1984,kpop,https://youtube.com/watch?v=OUWyhnYrSUI,OUWyhnYrSUI,True,happy,0.7214
https://cdnimg.melon.co.kr/cm/album/images/003/10/597/310597_500.jpg/melon/resize/48/quality/80/optimize,강승모,눈물의 재회,1984,kpop,https://youtube.com/watch?v=_9jahsFziIQ,_9jahsFziIQ,True,romantic,0.5239
https://cdnimg.melon.co.kr/cm/album/images/000/04/291/4291_500.jpg/melon/resize/48/quality/80/optimize,양희은,하얀 목련,1984,kpop,https://youtube.com/watch?v=7220Gk_Q1Cs,7220Gk_Q1Cs,True,romantic,0.4897
https://cdnimg.melon.co.kr/cm/album/images/000/16/707/16707_500.jpg/melon/resize/48/quality/80/optimize,김학래,슬픔의 심로,1984,kpop,https://youtube.com/watch?v=NzIJHVSEvxY,NzIJHVSEvxY,True,sad,0.516
https://cdnimg.melon.co.kr/cm/album/images/006/00/959/600959_500.jpg/melon/resize/48/quality/80/optimize,신형원,불씨,1984,kpop,https://youtube.com/watch?v=Tc8t1iLGB0o,Tc8t1iLGB0o,True,romantic,0.412
https://cdnimg.melon.co.kr/cm/album/images/003/10/201/310201_500.jpg/melon/resize/48/quality/80/optimize,김수철,정녕 그대를,1984,kpop,https://youtube.com/watch?v=cIjg7_Ywj_8,cIjg7_Ywj_8,True,romantic,0.5142
https://cdnimg.melon.co.kr/cm/album/images/007/46/457/746457_500.jpg/melon/resize/48/quality/80/optimize,윤수일밴드,아름다워,1984,kpop,https://youtube.com/watch?v=EcC021ZbjZU,EcC021ZbjZU,True,happy,0.344
https://cdnimg.melon.co.kr/cm/album/images/000/04/144/4144_500.jpg/melon/resize/48/quality/80/optimize,송창식,우리는,1984,kpop,https://youtube.com/watch?v=C92ZaDsiliE,C92ZaDsiliE,True,aggressive,0.7131
https://cdnimg.melon.co.kr/cm2/album/images/003/12/649/312649_20231214145210_500.jpg/melon/resize/48/quality/80/optimize,이광조,연인이여,1984,kpop,https://youtube.com/watch?v=kPwSjC6-AaI,kPwSjC6-AaI,True,romantic,0.4495
https://cdnimg.melon.co.kr/cm/album/images/000/04/872/4872_500.jpg/melon/resize/48/quality/80/optimize,정수라,풀잎이슬,1984,kpop,https://youtube.com/watch?v=186YrXcAhig,186YrXcAhig,True,romantic,0.5889
https://cdnimg.melon.co.kr/cm/album/images/000/09/002/9002_500.jpg/melon/resize/48/quality/80/optimize,성민호,무엇이 너와 나를 슬프게 하나,1984,kpop,https://youtube.com/watch?v=UBKjVIkePqM,UBKjVIkePqM,True,romantic,0.4547
https://cdnimg.melon.co.kr/cm/album/images/003/60/937/360937_500.jpg/melon/resize/48/quality/80/optimize,임병수,약속,1984,kpop,https://youtube.com/watch?v=nKcQKwSQsBU,nKcQKwSQsBU,True,happy,0.4154
https://cdnimg.melon.co.kr/cm/album/images/000/03/776/3776_500.jpg/melon/resize/48/quality/80/optimize,노사연,님그림자,1984,kpop,https://youtube.com/watch?v=QxQxxY13a6w,QxQxxY13a6w,True,sad,0.579
https://cdnimg.melon.co.kr/cm/album/images/003/22/351/322351_500.jpg/melon/resize/48/quality/80/optimize,김창완,그래 걷자,1984,kpop,https://youtube.com/watch?v=7SQjrZkmAMs,7SQjrZkmAMs,True,sad,0.451
https://cdnimg.melon.co.kr/cm2/album/images/000/04/706/4706_20230209145018_500.jpg/melon/resize/48/quality/80/optimize,장덕,날 찾지 말아요,1984,kpop,https://youtube.com/watch?v=UpC4812GjWg,UpC4812GjWg,True,dramatic,0.3461
https://cdnimg.melon.co.kr/cm/album/images/000/04/421/4421_500.jpg/melon/resize/48/quality/80/optimize,이미배,당신은 안개였나요,1984,kpop,https://youtube.com/watch?v=f2s1YCEO6SE,f2s1YCEO6SE,True,romantic,0.416
https://cdnimg.melon.co.kr/cm/album/images/003/09/703/309703_500.jpg/melon/resize/48/quality/80/optimize,해바라기,모두가 사랑이예요,1984,kpop,https://youtube.com/watch?v=e56IyEzLDl4,e56IyEzLDl4,True,sad,0.4751
https://cdnimg.melon.co.kr/cm/album/images/000/04/590/4590_500.jpg/melon/resize/48/quality/80/optimize,이은하,사랑도 못해본 사람은,1984,kpop,https://youtube.com/watch?v=TKWv_MZbloQ,TKWv_MZbloQ,True,happy,0.5436
https://cdnimg.melon.co.kr/cm/album/images/000/04/223/4223_500.jpg/melon/resize/48/quality/80/optimize,심수봉,그대와 탱고를,1984,kpop,https://youtube.com/watch?v=lpbRefF7xz4,lpbRefF7xz4,True,romantic,0.4034
https://cdnimg.melon.co.kr/cm/album/images/000/04/023/4023_500.jpg/melon/resize/48/quality/80/optimize,이혜민(배따라기),은지,1984,kpop,https://youtube.com/watch?v=ohnZpomHby8,ohnZpomHby8,True,sad,0.7627
https://cdnimg.melon.co.kr/cm/album/images/000/05/195/5195_500.jpg/melon/resize/48/quality/80/optimize,홍서범,가난한 연인들의 기도,1984,kpop,https://youtube.com/watch?v=Uut2y1Nlrn0,Uut2y1Nlrn0,True,romantic,0.5197
https://cdnimg.melon.co.kr/cm/album/images/000/05/050/5050_500.jpg/melon/resize/48/quality/80/optimize,하남석,우는 아인 바보야,1984,kpop,https://youtube.com/watch?v=3GQ0YY0Li4Y,3GQ0YY0Li4Y,True,romantic,0.3915
https://cdnimg.melon.co.kr/cm/album/images/000/34/769/34769_500.jpg/melon/resize/48/quality/80/optimize,최헌,카사블랑카,1984,kpop,https://youtube.com/watch?v=Zupo1NAreZQ,Zupo1NAreZQ,True,romantic,0.5026
https://cdnimg.melon.co.kr/cm/album/images/003/10/203/310203_500.jpg/melon/resize/48/quality/80/optimize,김수철,나도야 간다,1984,kpop,https://youtube.com/watch?v=_eyWbSSnjtM,_eyWbSSnjtM,True,happy,0.5065
